Word,Neg,Pos
ABANDON,-1,0
ABANDONED,-1,0
ABANDONING,-1,0
ABANDONMENT,-1,0
ABANDONMENTS,-1,0
ABANDONS,-1,0
ABDICATED,-1,0
ABDICATES,-1,0
ABDICATING,-1,0
ABDICATION,-1,0
ABDICATIONS,-1,0
ABERRANT,-1,0
ABERRATION,-1,0
ABERRATIONAL,-1,0
ABERRATIONS,-1,0
ABETTING,-1,0
ABLE,0,1
ABNORMAL,-1,0
ABNORMALITIES,-1,0
ABNORMALITY,-1,0
ABNORMALLY,-1,0
ABOLISH,-1,0
ABOLISHED,-1,0
ABOLISHES,-1,0
ABOLISHING,-1,0
ABROGATE,-1,0
ABROGATED,-1,0
ABROGATES,-1,0
ABROGATING,-1,0
ABROGATION,-1,0
ABROGATIONS,-1,0
ABRUPT,-1,0
ABRUPTLY,-1,0
ABRUPTNESS,-1,0
ABSENCE,-1,0
ABSENCES,-1,0
ABSENTEEISM,-1,0
ABUNDANCE,0,1
ABUNDANT,0,1
ABUSE,-1,0
ABUSED,-1,0
ABUSES,-1,0
ABUSING,-1,0
ABUSIVE,-1,0
ABUSIVELY,-1,0
ABUSIVENESS,-1,0
ACCIDENT,-1,0
ACCIDENTAL,-1,0
ACCIDENTALLY,-1,0
ACCIDENTS,-1,0
ACCLAIMED,0,1
ACCOMPLISH,0,1
ACCOMPLISHED,0,1
ACCOMPLISHES,0,1
ACCOMPLISHING,0,1
ACCOMPLISHMENT,0,1
ACCOMPLISHMENTS,0,1
ACCUSATION,-1,0
ACCUSATIONS,-1,0
ACCUSE,-1,0
ACCUSED,-1,0
ACCUSES,-1,0
ACCUSING,-1,0
ACHIEVE,0,1
ACHIEVED,0,1
ACHIEVEMENT,0,1
ACHIEVEMENTS,0,1
ACHIEVES,0,1
ACHIEVING,0,1
ACQUIESCE,-1,0
ACQUIESCED,-1,0
ACQUIESCES,-1,0
ACQUIESCING,-1,0
ACQUIT,-1,0
ACQUITS,-1,0
ACQUITTAL,-1,0
ACQUITTALS,-1,0
ACQUITTED,-1,0
ACQUITTING,-1,0
ADEQUATELY,0,1
ADULTERATE,-1,0
ADULTERATED,-1,0
ADULTERATING,-1,0
ADULTERATION,-1,0
ADULTERATIONS,-1,0
ADVANCEMENT,0,1
ADVANCEMENTS,0,1
ADVANCES,0,1
ADVANCING,0,1
ADVANTAGE,0,1
ADVANTAGED,0,1
ADVANTAGEOUS,0,1
ADVANTAGEOUSLY,0,1
ADVANTAGES,0,1
ADVERSARIAL,-1,0
ADVERSARIES,-1,0
ADVERSARY,-1,0
ADVERSE,-1,0
ADVERSELY,-1,0
ADVERSITIES,-1,0
ADVERSITY,-1,0
AFTERMATH,-1,0
AFTERMATHS,-1,0
AGAINST,-1,0
AGGRAVATE,-1,0
AGGRAVATED,-1,0
AGGRAVATES,-1,0
AGGRAVATING,-1,0
AGGRAVATION,-1,0
AGGRAVATIONS,-1,0
ALERTED,-1,0
ALERTING,-1,0
ALIENATE,-1,0
ALIENATED,-1,0
ALIENATES,-1,0
ALIENATING,-1,0
ALIENATION,-1,0
ALIENATIONS,-1,0
ALLEGATION,-1,0
ALLEGATIONS,-1,0
ALLEGE,-1,0
ALLEGED,-1,0
ALLEGEDLY,-1,0
ALLEGES,-1,0
ALLEGING,-1,0
ALLIANCE,0,1
ALLIANCES,0,1
ANNOY,-1,0
ANNOYANCE,-1,0
ANNOYANCES,-1,0
ANNOYED,-1,0
ANNOYING,-1,0
ANNOYS,-1,0
ANNUL,-1,0
ANNULLED,-1,0
ANNULLING,-1,0
ANNULMENT,-1,0
ANNULMENTS,-1,0
ANNULS,-1,0
ANOMALIES,-1,0
ANOMALOUS,-1,0
ANOMALOUSLY,-1,0
ANOMALY,-1,0
ANTICOMPETITIVE,-1,0
ANTITRUST,-1,0
ARGUE,-1,0
ARGUED,-1,0
ARGUING,-1,0
ARGUMENT,-1,0
ARGUMENTATIVE,-1,0
ARGUMENTS,-1,0
ARREARAGE,-1,0
ARREARAGES,-1,0
ARREARS,-1,0
ARREST,-1,0
ARRESTED,-1,0
ARRESTS,-1,0
ARTIFICIALLY,-1,0
ASSAULT,-1,0
ASSAULTED,-1,0
ASSAULTING,-1,0
ASSAULTS,-1,0
ASSERTIONS,-1,0
ASSURE,0,1
ASSURED,0,1
ASSURES,0,1
ASSURING,0,1
ATTAIN,0,1
ATTAINED,0,1
ATTAINING,0,1
ATTAINMENT,0,1
ATTAINMENTS,0,1
ATTAINS,0,1
ATTRACTIVE,0,1
ATTRACTIVENESS,0,1
ATTRITION,-1,0
AVERSELY,-1,0
BACKDATING,-1,0
BAD,-1,0
BAIL,-1,0
BAILOUT,-1,0
BALK,-1,0
BALKED,-1,0
BANKRUPT,-1,0
BANKRUPTCIES,-1,0
BANKRUPTCY,-1,0
BANKRUPTED,-1,0
BANKRUPTING,-1,0
BANKRUPTS,-1,0
BANS,-1,0
BARRED,-1,0
BARRIER,-1,0
BARRIERS,-1,0
BEAUTIFUL,0,1
BEAUTIFULLY,0,1
BENEFICIAL,0,1
BENEFICIALLY,0,1
BENEFIT,0,1
BENEFITED,0,1
BENEFITING,0,1
BENEFITTED,0,1
BENEFITTING,0,1
BEST,0,1
BETTER,0,1
BOLSTERED,0,1
BOLSTERING,0,1
BOLSTERS,0,1
BOOM,0,1
BOOMING,0,1
BOOST,0,1
BOOSTED,0,1
BOTTLENECK,-1,0
BOTTLENECKS,-1,0
BOYCOTT,-1,0
BOYCOTTED,-1,0
BOYCOTTING,-1,0
BOYCOTTS,-1,0
BREACH,-1,0
BREACHED,-1,0
BREACHES,-1,0
BREACHING,-1,0
BREAK,-1,0
BREAKAGE,-1,0
BREAKAGES,-1,0
BREAKDOWN,-1,0
BREAKDOWNS,-1,0
BREAKING,-1,0
BREAKS,-1,0
BREAKTHROUGH,0,1
BREAKTHROUGHS,0,1
BRIBE,-1,0
BRIBED,-1,0
BRIBERIES,-1,0
BRIBERY,-1,0
BRIBES,-1,0
BRIBING,-1,0
BRIDGE,-1,0
BRILLIANT,0,1
BROKEN,-1,0
BURDEN,-1,0
BURDENED,-1,0
BURDENING,-1,0
BURDENS,-1,0
BURDENSOME,-1,0
BURNED,-1,0
CALAMITIES,-1,0
CALAMITOUS,-1,0
CALAMITY,-1,0
CANCEL,-1,0
CANCELED,-1,0
CANCELING,-1,0
CANCELLATION,-1,0
CANCELLATIONS,-1,0
CANCELLED,-1,0
CANCELLING,-1,0
CANCELS,-1,0
CARELESS,-1,0
CARELESSLY,-1,0
CARELESSNESS,-1,0
CATASTROPHE,-1,0
CATASTROPHES,-1,0
CATASTROPHIC,-1,0
CATASTROPHICALLY,-1,0
CAUTION,-1,0
CAUTIONARY,-1,0
CAUTIONED,-1,0
CAUTIONING,-1,0
CAUTIONS,-1,0
CEASE,-1,0
CEASED,-1,0
CEASES,-1,0
CEASING,-1,0
CENSURE,-1,0
CENSURED,-1,0
CENSURES,-1,0
CENSURING,-1,0
CHALLENGE,-1,0
CHALLENGED,-1,0
CHALLENGES,-1,0
CHALLENGING,-1,0
CHARGEOFFS,-1,0
CHARITABLE,0,1
CIRCUMVENT,-1,0
CIRCUMVENTED,-1,0
CIRCUMVENTING,-1,0
CIRCUMVENTION,-1,0
CIRCUMVENTIONS,-1,0
CIRCUMVENTS,-1,0
CLAIMING,-1,0
CLAIMS,-1,0
CLAWBACK,-1,0
CLOSED,-1,0
CLOSEOUT,-1,0
CLOSEOUTS,-1,0
CLOSING,-1,0
CLOSINGS,-1,0
CLOSURE,-1,0
CLOSURES,-1,0
COERCE,-1,0
COERCED,-1,0
COERCES,-1,0
COERCING,-1,0
COERCION,-1,0
COERCIVE,-1,0
COLLABORATE,0,1
COLLABORATED,0,1
COLLABORATES,0,1
COLLABORATING,0,1
COLLABORATION,0,1
COLLABORATIONS,0,1
COLLABORATIVE,0,1
COLLABORATOR,0,1
COLLABORATORS,0,1
COLLAPSE,-1,0
COLLAPSED,-1,0
COLLAPSES,-1,0
COLLAPSING,-1,0
COLLISION,-1,0
COLLISIONS,-1,0
COLLUDE,-1,0
COLLUDED,-1,0
COLLUDES,-1,0
COLLUDING,-1,0
COLLUSION,-1,0
COLLUSIONS,-1,0
COLLUSIVE,-1,0
COMPLAIN,-1,0
COMPLAINED,-1,0
COMPLAINING,-1,0
COMPLAINS,-1,0
COMPLAINT,-1,0
COMPLAINTS,-1,0
COMPLICATE,-1,0
COMPLICATED,-1,0
COMPLICATES,-1,0
COMPLICATING,-1,0
COMPLICATION,-1,0
COMPLICATIONS,-1,0
COMPLIMENT,0,1
COMPLIMENTARY,0,1
COMPLIMENTED,0,1
COMPLIMENTING,0,1
COMPLIMENTS,0,1
COMPULSION,-1,0
CONCEALED,-1,0
CONCEALING,-1,0
CONCEDE,-1,0
CONCEDED,-1,0
CONCEDES,-1,0
CONCEDING,-1,0
CONCERN,-1,0
CONCERNED,-1,0
CONCERNS,-1,0
CONCILIATING,-1,0
CONCILIATION,-1,0
CONCILIATIONS,-1,0
CONCLUSIVE,0,1
CONCLUSIVELY,0,1
CONDEMN,-1,0
CONDEMNATION,-1,0
CONDEMNATIONS,-1,0
CONDEMNED,-1,0
CONDEMNING,-1,0
CONDEMNS,-1,0
CONDONE,-1,0
CONDONED,-1,0
CONDUCIVE,0,1
CONFESS,-1,0
CONFESSED,-1,0
CONFESSES,-1,0
CONFESSING,-1,0
CONFESSION,-1,0
CONFIDENT,0,1
CONFINE,-1,0
CONFINED,-1,0
CONFINEMENT,-1,0
CONFINEMENTS,-1,0
CONFINES,-1,0
CONFINING,-1,0
CONFISCATE,-1,0
CONFISCATED,-1,0
CONFISCATES,-1,0
CONFISCATING,-1,0
CONFISCATION,-1,0
CONFISCATIONS,-1,0
CONFLICT,-1,0
CONFLICTED,-1,0
CONFLICTING,-1,0
CONFLICTS,-1,0
CONFRONT,-1,0
CONFRONTATION,-1,0
CONFRONTATIONAL,-1,0
CONFRONTATIONS,-1,0
CONFRONTED,-1,0
CONFRONTING,-1,0
CONFRONTS,-1,0
CONFUSE,-1,0
CONFUSED,-1,0
CONFUSES,-1,0
CONFUSING,-1,0
CONFUSINGLY,-1,0
CONFUSION,-1,0
CONSPIRACIES,-1,0
CONSPIRACY,-1,0
CONSPIRATOR,-1,0
CONSPIRATORIAL,-1,0
CONSPIRATORS,-1,0
CONSPIRE,-1,0
CONSPIRED,-1,0
CONSPIRES,-1,0
CONSPIRING,-1,0
CONSTRUCTIVE,0,1
CONSTRUCTIVELY,0,1
CONTEMPT,-1,0
CONTEND,-1,0
CONTENDED,-1,0
CONTENDING,-1,0
CONTENDS,-1,0
CONTENTION,-1,0
CONTENTIONS,-1,0
CONTENTIOUS,-1,0
CONTENTIOUSLY,-1,0
CONTESTED,-1,0
CONTESTING,-1,0
CONTRACTION,-1,0
CONTRACTIONS,-1,0
CONTRADICT,-1,0
CONTRADICTED,-1,0
CONTRADICTING,-1,0
CONTRADICTION,-1,0
CONTRADICTIONS,-1,0
CONTRADICTORY,-1,0
CONTRADICTS,-1,0
CONTRARY,-1,0
CONTROVERSIAL,-1,0
CONTROVERSIES,-1,0
CONTROVERSY,-1,0
CONVICT,-1,0
CONVICTED,-1,0
CONVICTING,-1,0
CONVICTION,-1,0
CONVICTIONS,-1,0
CORRECTED,-1,0
CORRECTING,-1,0
CORRECTION,-1,0
CORRECTIONS,-1,0
CORRECTS,-1,0
CORRUPT,-1,0
CORRUPTED,-1,0
CORRUPTING,-1,0
CORRUPTION,-1,0
CORRUPTIONS,-1,0
CORRUPTLY,-1,0
CORRUPTNESS,-1,0
COSTLY,-1,0
COUNTERCLAIM,-1,0
COUNTERCLAIMED,-1,0
COUNTERCLAIMING,-1,0
COUNTERCLAIMS,-1,0
COUNTERFEIT,-1,0
COUNTERFEITED,-1,0
COUNTERFEITER,-1,0
COUNTERFEITERS,-1,0
COUNTERFEITING,-1,0
COUNTERFEITS,-1,0
COUNTERMEASURE,-1,0
COUNTERMEASURES,-1,0
COURTEOUS,0,1
CREATIVE,0,1
CREATIVELY,0,1
CREATIVENESS,0,1
CREATIVITY,0,1
CRIME,-1,0
CRIMES,-1,0
CRIMINAL,-1,0
CRIMINALLY,-1,0
CRIMINALS,-1,0
CRISES,-1,0
CRISIS,-1,0
CRITICAL,-1,0
CRITICALLY,-1,0
CRITICISM,-1,0
CRITICISMS,-1,0
CRITICIZE,-1,0
CRITICIZED,-1,0
CRITICIZES,-1,0
CRITICIZING,-1,0
CRUCIAL,-1,0
CRUCIALLY,-1,0
CULPABILITY,-1,0
CULPABLE,-1,0
CULPABLY,-1,0
CUMBERSOME,-1,0
CURTAIL,-1,0
CURTAILED,-1,0
CURTAILING,-1,0
CURTAILMENT,-1,0
CURTAILMENTS,-1,0
CURTAILS,-1,0
CUT,-1,0
CUTBACK,-1,0
CUTBACKS,-1,0
CYBERATTACK,-1,0
CYBERATTACKS,-1,0
CYBERBULLYING,-1,0
CYBERCRIME,-1,0
CYBERCRIMES,-1,0
CYBERCRIMINAL,-1,0
CYBERCRIMINALS,-1,0
DAMAGE,-1,0
DAMAGED,-1,0
DAMAGES,-1,0
DAMAGING,-1,0
DAMPEN,-1,0
DAMPENED,-1,0
DANGER,-1,0
DANGEROUS,-1,0
DANGEROUSLY,-1,0
DANGERS,-1,0
DEADLOCK,-1,0
DEADLOCKED,-1,0
DEADLOCKING,-1,0
DEADLOCKS,-1,0
DEADWEIGHT,-1,0
DEADWEIGHTS,-1,0
DEBARMENT,-1,0
DEBARMENTS,-1,0
DEBARRED,-1,0
DECEASED,-1,0
DECEIT,-1,0
DECEITFUL,-1,0
DECEITFULNESS,-1,0
DECEIVE,-1,0
DECEIVED,-1,0
DECEIVES,-1,0
DECEIVING,-1,0
DECEPTION,-1,0
DECEPTIONS,-1,0
DECEPTIVE,-1,0
DECEPTIVELY,-1,0
DECLINE,-1,0
DECLINED,-1,0
DECLINES,-1,0
DECLINING,-1,0
DEFACE,-1,0
DEFACED,-1,0
DEFACEMENT,-1,0
DEFAMATION,-1,0
DEFAMATIONS,-1,0
DEFAMATORY,-1,0
DEFAME,-1,0
DEFAMED,-1,0
DEFAMES,-1,0
DEFAMING,-1,0
DEFAULT,-1,0
DEFAULTED,-1,0
DEFAULTING,-1,0
DEFAULTS,-1,0
DEFEAT,-1,0
DEFEATED,-1,0
DEFEATING,-1,0
DEFEATS,-1,0
DEFECT,-1,0
DEFECTIVE,-1,0
DEFECTS,-1,0
DEFEND,-1,0
DEFENDANT,-1,0
DEFENDANTS,-1,0
DEFENDED,-1,0
DEFENDING,-1,0
DEFENDS,-1,0
DEFENSIVE,-1,0
DEFER,-1,0
DEFICIENCIES,-1,0
DEFICIENCY,-1,0
DEFICIENT,-1,0
DEFICIT,-1,0
DEFICITS,-1,0
DEFRAUD,-1,0
DEFRAUDED,-1,0
DEFRAUDING,-1,0
DEFRAUDS,-1,0
DEFUNCT,-1,0
DEGRADATION,-1,0
DEGRADATIONS,-1,0
DEGRADE,-1,0
DEGRADED,-1,0
DEGRADES,-1,0
DEGRADING,-1,0
DELAY,-1,0
DELAYED,-1,0
DELAYING,-1,0
DELAYS,-1,0
DELETERIOUS,-1,0
DELIBERATE,-1,0
DELIBERATED,-1,0
DELIBERATELY,-1,0
DELIGHT,0,1
DELIGHTED,0,1
DELIGHTFUL,0,1
DELIGHTFULLY,0,1
DELIGHTING,0,1
DELIGHTS,0,1
DELINQUENCIES,-1,0
DELINQUENCY,-1,0
DELINQUENT,-1,0
DELINQUENTLY,-1,0
DELINQUENTS,-1,0
DELIST,-1,0
DELISTED,-1,0
DELISTING,-1,0
DELISTS,-1,0
DEMISE,-1,0
DEMISED,-1,0
DEMISES,-1,0
DEMISING,-1,0
DEMOLISH,-1,0
DEMOLISHED,-1,0
DEMOLISHES,-1,0
DEMOLISHING,-1,0
DEMOLITION,-1,0
DEMOLITIONS,-1,0
DEMOTE,-1,0
DEMOTED,-1,0
DEMOTES,-1,0
DEMOTING,-1,0
DEMOTION,-1,0
DEMOTIONS,-1,0
DENIAL,-1,0
DENIALS,-1,0
DENIED,-1,0
DENIES,-1,0
DENIGRATE,-1,0
DENIGRATED,-1,0
DENIGRATES,-1,0
DENIGRATING,-1,0
DENIGRATION,-1,0
DENY,-1,0
DENYING,-1,0
DEPENDABILITY,0,1
DEPENDABLE,0,1
DEPLETE,-1,0
DEPLETED,-1,0
DEPLETES,-1,0
DEPLETING,-1,0
DEPLETION,-1,0
DEPLETIONS,-1,0
DEPRECATION,-1,0
DEPRESS,-1,0
DEPRESSED,-1,0
DEPRESSES,-1,0
DEPRESSING,-1,0
DEPRIVATION,-1,0
DEPRIVE,-1,0
DEPRIVED,-1,0
DEPRIVES,-1,0
DEPRIVING,-1,0
DERELICT,-1,0
DERELICTION,-1,0
DEROGATORY,-1,0
DESIRABLE,0,1
DESIRED,0,1
DESPITE,0,1
DESTABILIZATION,-1,0
DESTABILIZE,-1,0
DESTABILIZED,-1,0
DESTABILIZING,-1,0
DESTINED,0,1
DESTROY,-1,0
DESTROYED,-1,0
DESTROYING,-1,0
DESTROYS,-1,0
DESTRUCTION,-1,0
DESTRUCTIVE,-1,0
DETAIN,-1,0
DETAINED,-1,0
DETENTION,-1,0
DETENTIONS,-1,0
DETER,-1,0
DETERIORATE,-1,0
DETERIORATED,-1,0
DETERIORATES,-1,0
DETERIORATING,-1,0
DETERIORATION,-1,0
DETERIORATIONS,-1,0
DETERRED,-1,0
DETERRENCE,-1,0
DETERRENCES,-1,0
DETERRENT,-1,0
DETERRENTS,-1,0
DETERRING,-1,0
DETERS,-1,0
DETRACT,-1,0
DETRACTED,-1,0
DETRACTING,-1,0
DETRIMENT,-1,0
DETRIMENTAL,-1,0
DETRIMENTALLY,-1,0
DETRIMENTS,-1,0
DEVALUE,-1,0
DEVALUED,-1,0
DEVALUES,-1,0
DEVALUING,-1,0
DEVASTATE,-1,0
DEVASTATED,-1,0
DEVASTATING,-1,0
DEVASTATION,-1,0
DEVIATE,-1,0
DEVIATED,-1,0
DEVIATES,-1,0
DEVIATING,-1,0
DEVIATION,-1,0
DEVIATIONS,-1,0
DEVOLVE,-1,0
DEVOLVED,-1,0
DEVOLVES,-1,0
DEVOLVING,-1,0
DIFFICULT,-1,0
DIFFICULTIES,-1,0
DIFFICULTLY,-1,0
DIFFICULTY,-1,0
DILIGENT,0,1
DILIGENTLY,0,1
DIMINISH,-1,0
DIMINISHED,-1,0
DIMINISHES,-1,0
DIMINISHING,-1,0
DIMINUTION,-1,0
DISADVANTAGE,-1,0
DISADVANTAGED,-1,0
DISADVANTAGEOUS,-1,0
DISADVANTAGES,-1,0
DISAFFILIATION,-1,0
DISAGREE,-1,0
DISAGREEABLE,-1,0
DISAGREED,-1,0
DISAGREEING,-1,0
DISAGREEMENT,-1,0
DISAGREEMENTS,-1,0
DISAGREES,-1,0
DISALLOW,-1,0
DISALLOWANCE,-1,0
DISALLOWANCES,-1,0
DISALLOWED,-1,0
DISALLOWING,-1,0
DISALLOWS,-1,0
DISAPPEAR,-1,0
DISAPPEARANCE,-1,0
DISAPPEARANCES,-1,0
DISAPPEARED,-1,0
DISAPPEARING,-1,0
DISAPPEARS,-1,0
DISAPPOINT,-1,0
DISAPPOINTED,-1,0
DISAPPOINTING,-1,0
DISAPPOINTINGLY,-1,0
DISAPPOINTMENT,-1,0
DISAPPOINTMENTS,-1,0
DISAPPOINTS,-1,0
DISAPPROVAL,-1,0
DISAPPROVALS,-1,0
DISAPPROVE,-1,0
DISAPPROVED,-1,0
DISAPPROVES,-1,0
DISAPPROVING,-1,0
DISASSOCIATES,-1,0
DISASSOCIATING,-1,0
DISASSOCIATION,-1,0
DISASSOCIATIONS,-1,0
DISASTER,-1,0
DISASTERS,-1,0
DISASTROUS,-1,0
DISASTROUSLY,-1,0
DISAVOW,-1,0
DISAVOWAL,-1,0
DISAVOWED,-1,0
DISAVOWING,-1,0
DISAVOWS,-1,0
DISCIPLINARY,-1,0
DISCLAIM,-1,0
DISCLAIMED,-1,0
DISCLAIMER,-1,0
DISCLAIMERS,-1,0
DISCLAIMING,-1,0
DISCLAIMS,-1,0
DISCLOSE,-1,0
DISCLOSED,-1,0
DISCLOSES,-1,0
DISCLOSING,-1,0
DISCONTINUANCE,-1,0
DISCONTINUANCES,-1,0
DISCONTINUATION,-1,0
DISCONTINUATIONS,-1,0
DISCONTINUE,-1,0
DISCONTINUED,-1,0
DISCONTINUES,-1,0
DISCONTINUING,-1,0
DISCOURAGE,-1,0
DISCOURAGED,-1,0
DISCOURAGES,-1,0
DISCOURAGING,-1,0
DISCREDIT,-1,0
DISCREDITED,-1,0
DISCREDITING,-1,0
DISCREDITS,-1,0
DISCREPANCIES,-1,0
DISCREPANCY,-1,0
DISFAVOR,-1,0
DISFAVORED,-1,0
DISFAVORING,-1,0
DISFAVORS,-1,0
DISGORGE,-1,0
DISGORGED,-1,0
DISGORGEMENT,-1,0
DISGORGEMENTS,-1,0
DISGORGES,-1,0
DISGORGING,-1,0
DISGRACE,-1,0
DISGRACEFUL,-1,0
DISGRACEFULLY,-1,0
DISHONEST,-1,0
DISHONESTLY,-1,0
DISHONESTY,-1,0
DISHONOR,-1,0
DISHONORABLE,-1,0
DISHONORABLY,-1,0
DISHONORED,-1,0
DISHONORING,-1,0
DISHONORS,-1,0
DISINCENTIVES,-1,0
DISINTERESTED,-1,0
DISINTERESTEDLY,-1,0
DISINTERESTEDNESS,-1,0
DISLOYAL,-1,0
DISLOYALLY,-1,0
DISLOYALTY,-1,0
DISMAL,-1,0
DISMALLY,-1,0
DISMISS,-1,0
DISMISSAL,-1,0
DISMISSALS,-1,0
DISMISSED,-1,0
DISMISSES,-1,0
DISMISSING,-1,0
DISORDERLY,-1,0
DISPARAGE,-1,0
DISPARAGED,-1,0
DISPARAGEMENT,-1,0
DISPARAGEMENTS,-1,0
DISPARAGES,-1,0
DISPARAGING,-1,0
DISPARAGINGLY,-1,0
DISPARITIES,-1,0
DISPARITY,-1,0
DISPLACE,-1,0
DISPLACED,-1,0
DISPLACEMENT,-1,0
DISPLACEMENTS,-1,0
DISPLACES,-1,0
DISPLACING,-1,0
DISPOSE,-1,0
DISPOSSESS,-1,0
DISPOSSESSED,-1,0
DISPOSSESSES,-1,0
DISPOSSESSING,-1,0
DISPROPORTION,-1,0
DISPROPORTIONAL,-1,0
DISPROPORTIONATE,-1,0
DISPROPORTIONATELY,-1,0
DISPUTE,-1,0
DISPUTED,-1,0
DISPUTES,-1,0
DISPUTING,-1,0
DISQUALIFICATION,-1,0
DISQUALIFICATIONS,-1,0
DISQUALIFIED,-1,0
DISQUALIFIES,-1,0
DISQUALIFY,-1,0
DISQUALIFYING,-1,0
DISREGARD,-1,0
DISREGARDED,-1,0
DISREGARDING,-1,0
DISREGARDS,-1,0
DISREPUTABLE,-1,0
DISREPUTE,-1,0
DISRUPT,-1,0
DISRUPTED,-1,0
DISRUPTING,-1,0
DISRUPTION,-1,0
DISRUPTIONS,-1,0
DISRUPTIVE,-1,0
DISRUPTS,-1,0
DISSATISFACTION,-1,0
DISSATISFIED,-1,0
DISSENT,-1,0
DISSENTED,-1,0
DISSENTER,-1,0
DISSENTERS,-1,0
DISSENTING,-1,0
DISSENTS,-1,0
DISSIDENT,-1,0
